time sig 4/4
tempo 499968 msecs per qnote (120.00768049155145 bpm)
key sig C major
0: meta 1 text: (C) 1994 Tune 1000 Corporation  ;Warner/Chappell Music Canada Ltd. Int'l righ
0: meta 1 text: ts secured
0: meta 1 text: Back Vocal
0: meta 1 text: (C) 1994 Tune 1000 Corporation  ;Warner/Chappell Music Canada Ltd. Int'l righ
0: meta 1 text: ts secured
0: meta 1 text: Back Vocal
0: meta 1 text: (C) 1994 Tune 1000 Corporation  ;Warner/Chappell Music Canada Ltd. Int'l righ
0: meta 1 text: ts secured
0: meta 1 text: Back Vocal
0: meta 1 text: (C) 1994 Tune 1000 Corporation  ;Warner/Chappell Music Canada Ltd. Int'l righ
0: meta 1 text: ts secured
0: meta 1 text: (C) 1994 Tune 1000 Corporation  ;Warner/Chappell Music Canada Ltd. Int'l righ
0: meta 1 text: ts secured
0: meta 1 text: Back Vocal
tempo 517056 msecs per qnote (116.04158930560713 bpm)
tempo 555456 msecs per qnote (108.01935706878673 bpm)
0: meta 33 (other)
0: meta 3 sequence or track name: DREAMS              
196: ch 0 prog 1
2: ch 0 cntl 7 90
0: ch 0 cntl 10 60
0: ch 0 cntl 11 127
2: ch 0 cntl 93 25
1334: ch 0 on 41 84
2: ch 0 cntl 1 0
0: ch 0 pb 8192
190: ch 0 on 57 100
0: ch 0 on 60 94
0: ch 0 on 52 112
42: ch 0 off 41 64
56: ch 0 on 41 94
26: ch 0 off 57 64
0: ch 0 off 60 64
8: ch 0 off 52 64
8: ch 0 off 41 64
56: ch 0 on 41 102
192: ch 0 on 60 94
0: ch 0 on 52 108
0: ch 0 on 57 100
26: ch 0 off 41 64
68: ch 0 on 41 88
38: ch 0 off 60 64
0: ch 0 off 52 64
0: ch 0 off 57 64
4: ch 0 off 41 64
150: ch 0 on 43 78
96: ch 0 off 43 64
0: ch 0 on 55 73
0: ch 0 on 59 73
66: ch 0 off 55 64
8: ch 0 off 59 64
114: ch 0 on 43 106
6: ch 0 on 59 91
0: ch 0 on 55 98
328: ch 0 off 43 64
34: ch 0 off 59 64
0: ch 0 off 55 64
20: ch 0 on 41 94
190: ch 0 on 53 102
0: ch 0 on 57 94
0: ch 0 on 48 100
36: ch 0 off 41 64
60: ch 0 on 41 94
6: ch 0 off 53 64
0: ch 0 off 57 64
8: ch 0 off 48 64
24: ch 0 off 41 64
60: ch 0 on 41 97
192: ch 0 on 53 110
0: ch 0 on 48 112
0: ch 0 on 57 106
10: ch 0 off 41 64
84: ch 0 on 41 76
10: ch 0 off 53 64
0: ch 0 off 48 64
0: ch 0 off 57 64
76: ch 0 off 41 64
106: ch 0 on 43 80
100: ch 0 on 55 94
0: ch 0 on 50 102
0: ch 0 on 59 87
40: ch 0 off 43 64
2: ch 0 off 55 64
0: ch 0 off 50 64
0: ch 0 off 59 64
148: ch 0 on 43 112
0: ch 0 on 59 97
0: ch 0 on 55 104
0: ch 0 on 50 114
334: ch 0 off 50 64
4: ch 0 off 59 64
0: ch 0 off 55 64
28: ch 0 off 43 64
14: ch 0 on 41 91
198: ch 0 on 60 97
0: ch 0 on 52 108
0: ch 0 on 57 102
40: ch 0 off 41 64
54: ch 0 off 60 64
0: ch 0 off 52 64
0: ch 0 off 57 64
0: ch 0 on 41 92
38: ch 0 off 41 64
58: ch 0 on 41 100
190: ch 0 on 60 97
0: ch 0 on 52 112
0: ch 0 on 57 106
28: ch 0 off 41 64
68: ch 0 on 41 97
20: ch 0 off 60 64
0: ch 0 off 52 64
0: ch 0 off 57 64
76: ch 0 off 41 64
2: ch 0 on 43 100
190: ch 0 on 59 85
0: ch 0 on 55 100
0: ch 0 on 50 108
40: ch 0 off 43 64
14: ch 0 off 55 64
0: ch 0 off 50 64
8: ch 0 off 59 64
36: ch 0 on 43 84
34: ch 0 off 43 64
60: ch 0 on 43 100
2: ch 0 on 55 106
0: ch 0 on 50 110
0: ch 0 on 59 92
240: ch 0 off 43 64
46: ch 0 on 43 87
56: ch 0 off 59 64
8: ch 0 off 55 64
0: ch 0 off 50 64
32: ch 0 off 43 64
2: ch 0 on 41 95
190: ch 0 on 57 92
0: ch 0 on 48 108
0: ch 0 on 53 106
36: ch 0 off 41 64
64: ch 0 on 41 85
16: ch 0 off 57 64
0: ch 0 off 53 64
8: ch 0 off 48 64
10: ch 0 off 41 64
60: ch 0 on 41 95
194: ch 0 on 57 102
0: ch 0 on 48 110
0: ch 0 on 53 110
40: ch 0 off 41 64
54: ch 0 on 41 88
8: ch 0 off 57 64
0: ch 0 off 48 64
6: ch 0 off 53 64
60: ch 0 off 41 64
20: ch 0 on 43 94
192: ch 0 on 59 90
0: ch 0 on 50 102
2: ch 0 on 55 95
48: ch 0 off 43 64
2: ch 0 off 55 64
10: ch 0 off 59 64
0: ch 0 off 50 64
38: ch 0 on 43 90
34: ch 0 off 43 64
60: ch 0 on 50 108
0: ch 0 on 59 104
0: ch 0 on 43 102
2: ch 0 on 55 104
228: ch 0 off 43 64
60: ch 0 on 43 104
46: ch 0 off 50 64
0: ch 0 off 59 64
2: ch 0 off 55 64
48: ch 0 off 43 64
0: ch 0 on 41 92
192: ch 0 on 60 98
0: ch 0 on 57 104
0: ch 0 on 52 112
36: ch 0 off 41 64
50: ch 0 off 57 64
4: ch 0 on 41 85
2: ch 0 off 60 64
0: ch 0 off 52 64
40: ch 0 off 41 64
68: ch 0 on 41 98
178: ch 0 on 60 97
0: ch 0 on 57 106
0: ch 0 on 52 112
56: ch 0 off 41 64
50: ch 0 on 41 94
14: ch 0 off 60 64
0: ch 0 off 57 64
0: ch 0 off 52 64
26: ch 0 off 41 64
50: ch 0 on 43 102
192: ch 0 on 59 90
0: ch 0 on 55 98
0: ch 0 on 50 112
38: ch 0 off 43 64
16: ch 0 off 55 64
8: ch 0 off 59 64
0: ch 0 off 50 64
36: ch 0 on 43 92
32: ch 0 off 43 64
62: ch 0 on 50 110
0: ch 0 on 59 100
0: ch 0 on 55 106
2: ch 0 on 43 110
328: ch 0 off 43 64
48: ch 0 off 50 64
0: ch 0 off 59 64
0: ch 0 off 55 64
4: ch 0 on 41 90
194: ch 0 on 57 97
0: ch 0 on 53 106
0: ch 0 on 48 106
24: ch 0 off 41 64
70: ch 0 on 41 92
8: ch 0 off 53 64
2: ch 0 off 57 64
0: ch 0 off 48 64
36: ch 0 off 41 64
54: ch 0 on 41 97
190: ch 0 on 48 110
0: ch 0 on 53 108
0: ch 0 on 57 94
16: ch 0 off 41 64
50: ch 0 off 48 64
4: ch 0 off 53 64
4: ch 0 off 57 64
20: ch 0 on 41 92
96: ch 0 off 41 64
2: ch 0 on 43 102
190: ch 0 on 55 94
0: ch 0 on 59 87
0: ch 0 on 50 102
24: ch 0 off 43 64
46: ch 0 off 55 64
0: ch 0 off 59 64
0: ch 0 off 50 64
26: ch 0 on 43 102
34: ch 0 off 43 64
64: ch 0 on 59 98
0: ch 0 on 55 102
0: ch 0 on 50 114
0: ch 0 on 43 106
320: ch 0 off 59 64
0: ch 0 off 50 64
4: ch 0 off 55 64
58: ch 0 on 41 95
12: ch 0 off 43 64
180: ch 0 on 60 92
0: ch 0 on 57 98
0: ch 0 on 52 112
18: ch 0 off 41 64
78: ch 0 off 60 64
0: ch 0 off 57 64
0: ch 0 on 41 91
8: ch 0 off 52 64
42: ch 0 off 41 64
48: ch 0 on 41 98
192: ch 0 on 52 108
0: ch 0 on 57 102
0: ch 0 on 60 100
38: ch 0 off 41 64
52: ch 0 off 57 64
4: ch 0 off 60 64
4: ch 0 off 52 64
0: ch 0 on 41 100
96: ch 0 off 41 64
0: ch 0 on 43 100
192: ch 0 on 50 98
0: ch 0 on 59 80
0: ch 0 on 55 87
14: ch 0 off 43 64
36: ch 0 off 59 64
0: ch 0 off 55 64
8: ch 0 off 50 64
36: ch 0 on 43 100
34: ch 0 off 43 64
60: ch 0 on 55 104
0: ch 0 on 59 104
0: ch 0 on 50 112
0: ch 0 on 43 102
358: ch 0 off 59 64
4: ch 0 off 55 64
4: ch 0 off 50 64
18: ch 0 off 43 64
0: ch 0 on 41 98
196: ch 0 on 57 97
0: ch 0 on 53 106
0: ch 0 on 48 112
18: ch 0 off 41 64
74: ch 0 on 41 88
22: ch 0 off 57 64
0: ch 0 off 53 64
0: ch 0 off 48 64
20: ch 0 off 41 64
58: ch 0 on 41 95
188: ch 0 on 57 94
0: ch 0 on 48 108
0: ch 0 on 53 108
6: ch 0 off 41 64
86: ch 0 on 41 90
10: ch 0 off 57 64
0: ch 0 off 48 64
4: ch 0 off 53 64
82: ch 0 off 41 64
4: ch 0 on 43 104
192: ch 0 on 59 94
0: ch 0 on 55 100
0: ch 0 on 50 108
50: ch 0 off 43 64
24: ch 0 off 55 64
8: ch 0 off 59 64
0: ch 0 off 50 64
20: ch 0 on 43 87
26: ch 0 off 43 64
64: ch 0 on 55 106
0: ch 0 on 59 100
0: ch 0 on 50 110
4: ch 0 on 43 114
316: ch 0 off 43 64
12: ch 0 off 55 64
0: ch 0 off 59 64
0: ch 0 off 50 64
54: ch 0 on 41 97
192: ch 0 on 52 108
0: ch 0 on 57 104
0: ch 0 on 60 97
26: ch 0 off 41 64
66: ch 0 off 60 64
2: ch 0 on 41 86
6: ch 0 off 52 64
0: ch 0 off 57 64
36: ch 0 off 41 64
58: ch 0 on 41 95
190: ch 0 on 60 98
0: ch 0 on 57 100
0: ch 0 on 52 110
28: ch 0 off 41 64
66: ch 0 on 41 94
38: ch 0 off 60 64
4: ch 0 off 57 64
0: ch 0 off 52 64
58: ch 0 on 43 97
2: ch 0 off 41 64
188: ch 0 on 50 106
0: ch 0 on 55 102
0: ch 0 on 59 92
32: ch 0 off 43 64
30: ch 0 off 55 64
4: ch 0 off 50 64
0: ch 0 off 59 64
30: ch 0 on 43 88
38: ch 0 off 43 64
56: ch 0 on 50 106
0: ch 0 on 59 97
0: ch 0 on 55 104
2: ch 0 on 43 102
384: ch 0 off 59 64
0: ch 0 off 43 64
0: ch 0 on 41 102
8: ch 0 off 55 64
4: ch 0 off 50 64
180: ch 0 off 41 64
0: ch 0 on 57 94
0: ch 0 on 53 108
2: ch 0 on 48 104
92: ch 0 on 41 86
42: ch 0 off 41 64
2: ch 0 off 48 64
6: ch 0 off 57 64
0: ch 0 off 53 64
48: ch 0 on 41 95
190: ch 0 on 53 108
0: ch 0 on 48 110
0: ch 0 on 57 100
16: ch 0 off 41 64
80: ch 0 on 41 86
20: ch 0 off 48 64
0: ch 0 off 57 64
4: ch 0 off 53 64
72: ch 0 off 41 64
0: ch 0 on 43 106
96: ch 0 off 43 64
2: ch 0 on 43 72
62: ch 0 off 43 64
32: ch 0 on 55 95
0: ch 0 on 59 88
0: ch 0 on 50 104
70: ch 0 off 55 64
0: ch 0 off 59 64
8: ch 0 off 50 64
116: ch 0 on 55 104
0: ch 0 on 50 110
0: ch 0 on 59 100
4: ch 0 on 43 112
344: ch 0 off 50 64
8: ch 0 off 55 64
0: ch 0 off 59 64
14: ch 0 off 43 64
12: ch 0 on 41 92
194: ch 0 on 57 100
2: ch 0 on 52 108
0: ch 0 on 60 92
34: ch 0 off 41 64
60: ch 0 on 41 80
18: ch 0 off 52 64
0: ch 0 off 60 64
6: ch 0 off 57 64
14: ch 0 off 41 64
60: ch 0 on 41 102
192: ch 0 on 52 104
0: ch 0 on 60 88
0: ch 0 on 57 100
10: ch 0 off 41 64
82: ch 0 on 41 91
24: ch 0 off 52 64
0: ch 0 off 60 64
0: ch 0 off 57 64
72: ch 0 off 41 64
2: ch 0 on 43 106
192: ch 0 on 50 98
0: ch 0 on 55 87
0: ch 0 on 59 78
58: ch 0 off 55 64
8: ch 0 off 59 64
8: ch 0 off 50 64
34: ch 0 off 43 64
84: ch 0 on 55 104
0: ch 0 on 50 110
0: ch 0 on 59 95
0: ch 0 on 43 97
316: ch 0 off 43 64
42: ch 0 off 55 64
0: ch 0 off 50 64
0: ch 0 off 59 64
24: ch 0 on 41 91
194: ch 0 on 53 106
2: ch 0 on 48 106
0: ch 0 on 57 98
18: ch 0 off 41 64
74: ch 0 on 41 86
